4,161884192513483,0.017044231,-0.013582122,-0.0127831735
4,161884219176920,-0.0013315806,-0.016777916,-0.022903185
4,161884211798795,-0.0013315806,-0.016777916,-0.022903185
4,161884206541764,-0.0013315806,-0.016777916,-0.022903185
4,161884273486712,-0.0013315806,-0.016777916,-0.022903185
11,161884221798795,-0.220181,-0.093062,-0.444052,0.863525,0.0
10,161884221798795,-0.55369973,0.11738896,0.34259224
11,161884231798795,-0.220181,-0.093062,-0.444052,0.863525,0.0
11,161884251798795,-0.220181,-0.093062,-0.444052,0.863525,0.0
11,161884241798795,-0.220181,-0.093062,-0.444052,0.863525,0.0
10,161884251798795,-0.55369973,0.11738896,0.34259224
11,161884261798795,-0.220181,-0.093062,-0.444052,0.863525,0.0
10,161884261798795,-0.55369973,0.11738896,0.34259224
11,161884273486712,-0.220181,-0.093062,-0.444052,0.863525,0.0
10,161884273486712,-0.55369973,0.11738896,0.34259224
4,161884276591295,5.326322E-4,-0.012250541,-0.018642128
4,161884284055306,-0.007456851,-0.010386328,-0.014114754
11,161884284055306,-0.220052,-0.092656,-0.445061,0.863082,0.0
10,161884284055306,-0.7000847,0.34004927,0.27775097
4,161884289912024,-0.016777916,-0.011984225,-0.010918961
4,161884297908535,-0.03488741,-0.015978966,-0.006924219
11,161884297908535,-0.219961,-0.092353,-0.445136,0.863099,0.0
10,161884297908535,-0.69451547,0.34109092,0.2758665
4,161884302908535,-0.038083203,-0.01438107,0.0031957934
4,161884315553743,-0.038083203,-0.01438107,0.0031957934
4,161884307908535,-0.038083203,-0.01438107,0.0031957934
4,161884312908535,-0.038083203,-0.01438107,0.0031957934
4,161884320743847,-0.033289514,-0.015180019,0.007989483
11,161884320743847,-0.220047,-0.091912,-0.445107,0.863139,0.0
10,161884307908535,-0.72844934,0.20297003,0.49049187
11,161884307908535,-0.220047,-0.091912,-0.445107,0.863139,0.0
10,161884320743847,-0.72844934,0.20297003,0.49049187
4,161884328039524,-0.03435478,-0.01571265,0.01438107
4,161884332789785,-0.03701794,-0.01571265,0.017044231
11,161884332789785,-0.220212,-0.0914,-0.446193,0.862591,0.0
10,161884332789785,-0.7249303,0.16521835,0.43261528
4,161884337152337,-0.041279,-0.016245283,0.017576864
4,161884344800045,-0.04873585,-0.015446335,0.017310547
10,161884344800045,-0.72387695,0.11421752,0.3990898
11,161884344800045,-0.22053,-0.090628,-0.4482,0.86155,0.0
2,161884344800045,-29.0,18.0,-1.0
4,161884355693222,-0.051665325,-0.019441076,0.0127831735
4,161884348395931,-0.051665325,-0.019441076,0.0127831735
4,161884363780566,-0.036751624,-0.021038974,0.006657903
10,161884355693222,-0.67717314,0.06954956,0.44024372
11,161884355693222,-0.221055,-0.089666,-0.449759,0.860703,0.0
4,161884359524941,-0.036751624,-0.021038974,0.006657903
11,161884363780566,-0.221055,-0.089666,-0.449759,0.860703,0.0
10,161884363780566,-0.66243935,0.04133439,0.46966553
4,161884370939056,-0.014913702,-0.023435818,-2.663161E-4
4,161884377197129,-0.014913702,-0.023435818,-2.663161E-4
11,161884377197129,-0.221157,-0.089474,-0.449704,0.860726,0.0
10,161884377197129,-0.6431403,0.06888819,0.46987534
4,161884382197129,0.010386328,-0.025300032,-0.006657903
4,161884387197129,0.010386328,-0.025300032,-0.006657903
